libiniparser1:arm64	4.1-4ubuntu4.2
libinput-bin	1.20.0-1ubuntu0.3
libinput10:arm64	1.20.0-1ubuntu0.3
libinstpatch-1.0-2:arm64	1.1.6-1
libio-html-perl	1.004-2
libio-socket-ssl-perl	2.074-2
libio-stringy-perl	2.111-3
libip4tc2:arm64	1.8.7-1ubuntu5.2
libip6tc2:arm64	1.8.7-1ubuntu5.2
libipa-hbac0	2.6.3-1ubuntu3.6
libipc-system-simple-perl	1.30-1
libiperf0:arm64	3.9-1+deb11u1build0.22.04.1
libirs-export161	1:9.11.19+dfsg-2.1ubuntu3
libisc-export1105:arm64	1:9.11.19+dfsg-2.1ubuntu3
libisccfg-export163	1:9.11.19+dfsg-2.1ubuntu3
libisl23:arm64	0.24-2build1
libitm1:arm64	12.3.0-1ubuntu1~22.04.2
libiw30:arm64	30~pre9-13.1ubuntu4
libjack-jackd2-0:arm64	1.9.20~dfsg-1
libjansson4:arm64	2.13.1-1.1build3
libjavascriptcoregtk-4.0-18:arm64	2.48.5-0ubuntu0.22.04.1
libjavascriptcoregtk-4.1-0:arm64	2.48.5-0ubuntu0.22.04.1
libjbig-dev:arm64	2.1-3.1ubuntu0.22.04.1
libjbig0:arm64	2.1-3.1ubuntu0.22.04.1
libjbig2dec0:arm64	0.19-3build2
libjcat1:arm64	0.1.9-1
libjpeg-dev:arm64	8c-2ubuntu10
libjpeg-turbo8:arm64	2.1.2-0ubuntu1
libjpeg-turbo8-dev:arm64	2.1.2-0ubuntu1
libjpeg8:arm64	8c-2ubuntu10
libjpeg8-dev:arm64	8c-2ubuntu10
libjs-jquery	3.6.0+dfsg+~3.5.13-1
libjs-jquery-hotkeys	0~20130707+git2d51e3a9+dfsg-2ubuntu1
libjs-jquery-isonscreen	1.2.0-1.1
libjs-jquery-metadata	12-3
libjs-jquery-tablesorter	1:2.31.3+dfsg1-3
libjs-jquery-throttle-debounce	1.1+dfsg.1-2
libjs-jquery-ui	1.13.1+dfsg-1
libjs-sphinxdoc	4.3.2-1
libjs-underscore	1.13.2~dfsg-2
libjson-c-dev:arm64	0.15-3~ubuntu1.22.04.2
libjson-c5:arm64	0.15-3~ubuntu1.22.04.2
libjson-glib-1.0-0:arm64	1.6.6-1build1
libjson-glib-1.0-common	1.6.6-1build1
libjsoncpp-dev:arm64	1.9.5-3
libjsoncpp25:arm64	1.9.5-3
libk5crypto3:arm64	1.19.2-2ubuntu0.7
libkadm5clnt-mit12:arm64	1.19.2-2ubuntu0.7
libkadm5srv-mit12:arm64	1.19.2-2ubuntu0.7
libkate1:arm64	0.4.1-11build1
libkdb5-10:arm64	1.19.2-2ubuntu0.7
libkeyutils1:arm64	1.6.1-2ubuntu3
libklibc:arm64	2.0.10-4ubuntu0.1
libklu1:arm64	1:5.10.1+dfsg-4build1
libkml-dev:arm64	1.3.0-9
libkmlbase1:arm64	1.3.0-9
libkmlconvenience1:arm64	1.3.0-9
libkmldom1:arm64	1.3.0-9
libkmlengine1:arm64	1.3.0-9
libkmlregionator1:arm64	1.3.0-9
libkmlxsd1:arm64	1.3.0-9
libkmod2:arm64	29-1ubuntu1
libkpathsea6:arm64	2021.20210626.59705-1ubuntu0.2
libkrb5-3:arm64	1.19.2-2ubuntu0.7
libkrb5-dev:arm64	1.19.2-2ubuntu0.7
libkrb5support0:arm64	1.19.2-2ubuntu0.7
libksba8:arm64	1.6.0-2ubuntu0.2
liblab-gamut1:arm64	2.42.2-6ubuntu0.1
liblangtag-common	0.6.3-2ubuntu1
liblangtag1:arm64	0.6.3-2ubuntu1
liblapack-dev:arm64	3.10.0-2ubuntu1
liblapack3:arm64	3.10.0-2ubuntu1
liblbfgsb0:arm64	3.0+dfsg.3-10
liblcms2-2:arm64	2.12~rc1-2build2
liblcms2-dev:arm64	2.12~rc1-2build2
liblcms2-utils	2.12~rc1-2build2
libldacbt-enc2:arm64	2.0.2.3+git20200429+ed310a0-4
libldap-2.5-0:arm64	2.5.19+dfsg-0ubuntu0.22.04.1
libldb2:arm64	2:2.4.4-0ubuntu0.22.04.2
libldl2:arm64	1:5.10.1+dfsg-4build1
liblept5:arm64	1.82.0-3build1
liblilv-0-0:arm64	0.24.12-2
liblirc-client0:arm64	0.10.1-6.3ubuntu1
libllvm14:arm64	1:14.0.0-1ubuntu1.1
libllvm15:arm64	1:15.0.7-0ubuntu0.22.04.3
liblmdb0:arm64	0.9.24-1build2
liblocale-gettext-perl	1.07-4build3
liblouis-data	3.20.0-2ubuntu0.2
liblouis20:arm64	3.20.0-2ubuntu0.2
liblsan0:arm64	12.3.0-1ubuntu1~22.04.2
libltc11:arm64	1.3.1-1
libltdl-dev:arm64	2.4.6-15build2
libltdl7:arm64	2.4.6-15build2
liblua5.3-0:arm64	5.3.6-1build1
liblvm2cmd2.03:arm64	2.03.11-2.1ubuntu5
liblwp-mediatypes-perl	6.04-1
liblwp-protocol-https-perl	6.10-1
liblz4-1:arm64	1.9.3-2build2
liblz4-dev:arm64	1.9.3-2build2
liblzma-dev:arm64	5.2.5-2ubuntu1
liblzma5:arm64	5.2.5-2ubuntu1
liblzo2-2:arm64	2.10-2build3
libmagic-mgc	1:5.41-3ubuntu0.1
libmagic1:arm64	1:5.41-3ubuntu0.1
libmailtools-perl	2.21-1
libmalcontent-0-0:arm64	0.10.4-1ubuntu0.22.04
libmanette-0.2-0:arm64	0.2.6-3build1
libmaxminddb0:arm64	1.5.2-1build2
libmbim-glib4:arm64	1.28.0-1~ubuntu20.04.2
libmbim-proxy	1.28.0-1~ubuntu20.04.2
libmd-dev:arm64	1.0.4-1build1
libmd0:arm64	1.0.4-1build1
libmd4c0:arm64	0.4.8-1
libmediaart-2.0-0:arm64	1.9.5-2build1
libmessaging-menu0:arm64	22.2.0-1
libmetis5:arm64	5.1.0.dfsg-7build2
libmhash2:arm64	0.9.9.9-9build2
libminiupnpc17:arm64	2.2.3-1build1
libminizip-dev:arm64	1.1-8build1
libminizip1:arm64	1.1-8build1
libmjpegutils-2.1-0:arm64	1:2.1.0+debian-6build1
libmm-glib0:arm64	1.20.0-1~ubuntu22.04.4
libmnl0:arm64	1.0.4-3build2
libmodplug1:arm64	1:0.8.9.0-3
libmongoose2:arm64	1:5.10.1+dfsg-4build1
libmono-btls-interface4.0-cil	6.8.0.105+dfsg-3.2
libmono-corlib4.5-cil	6.8.0.105+dfsg-3.2
libmono-corlib4.5-dll	6.8.0.105+dfsg-3.2
libmono-i18n-west4.0-cil	6.8.0.105+dfsg-3.2
libmono-i18n4.0-cil	6.8.0.105+dfsg-3.2
libmono-security4.0-cil	6.8.0.105+dfsg-3.2
libmono-system-configuration4.0-cil	6.8.0.105+dfsg-3.2
libmono-system-core4.0-cil	6.8.0.105+dfsg-3.2
libmono-system-numerics4.0-cil	6.8.0.105+dfsg-3.2
libmono-system-security4.0-cil	6.8.0.105+dfsg-3.2
libmono-system-xml4.0-cil	6.8.0.105+dfsg-3.2
libmono-system4.0-cil	6.8.0.105+dfsg-3.2
libmount-dev:arm64	2.37.2-4ubuntu3.4
libmount1:arm64	2.37.2-4ubuntu3.4
libmozjs-91-0:arm64	91.10.0-0ubuntu1
libmp3lame0:arm64	3.100-3build2
libmpc3:arm64	1.2.1-2build1
libmpcdec6:arm64	2:0.1~r495-2
libmpdec3:arm64	2.5.1-2build2
libmpeg2-4:arm64	0.5.1-9
libmpeg2encpp-2.1-0:arm64	1:2.1.0+debian-6build1
libmpfr6:arm64	4.1.0-3build3
libmpg123-0:arm64	1.29.3-1ubuntu0.1
libmplex2-2.1-0:arm64	1:2.1.0+debian-6build1
libmspub-0.1-1:arm64	0.1.4-3build3
libmtdev1:arm64	1.1.6-1build4
libmtp-common	1.1.19-1build1
libmtp-runtime	1.1.19-1build1
libmtp9:arm64	1.1.19-1build1
libmulticobex1	0.24-6build5
libmutter-10-0:arm64	42.9-0ubuntu9
libmwaw-0.3-3:arm64	0.3.21-1build1
libmysofa1:arm64	1.2.1~dfsg0-1
libmysqlclient-dev	8.0.43-0ubuntu0.22.04.1
libmysqlclient21:arm64	8.0.43-0ubuntu0.22.04.1
libmythes-1.2-0:arm64	2:1.2.4-4build1
libnatpmp1:arm64	20150609-7.1build2
libnautilus-extension1a:arm64	1:42.6-0ubuntu2
libncurses-dev:arm64	6.3-2ubuntu0.1
libncurses5:arm64	6.3-2ubuntu0.1
libncurses6:arm64	6.3-2ubuntu0.1
libncursesw6:arm64	6.3-2ubuntu0.1
libndctl6:arm64	72.1-1
libndp0:arm64	1.8-0ubuntu3.1
libnet-dbus-perl	1.2.0-1build3
libnet-http-perl	6.22-1
libnet-smtp-ssl-perl	1.04-1
libnet-ssleay-perl:arm64	1.92-1build2
libnetcdf-c++4	4.2-12build1
libnetcdf-cxx-legacy-dev	4.2-12build1
libnetcdf-dev	1:4.8.1-1
libnetcdf19:arm64	1:4.8.1-1
libnetfilter-conntrack3:arm64	1.0.9-1
libnettle8:arm64	3.7.3-1build2
libnewt0.52:arm64	0.52.21-5ubuntu2
libnfnetlink0:arm64	1.0.1-3build3
libnfs13:arm64	4.0.0-1build2
libnfsidmap1:arm64	1:2.6.1-1ubuntu1.2
libnftables1:arm64	1.0.2-1ubuntu3
libnftnl11:arm64	1.2.1-1build1
libnghttp2-14:arm64	1.43.0-1ubuntu0.2
libnice10:arm64	0.1.18-2
libnl-3-200:arm64	3.5.0-0.1
libnl-3-dev:arm64	3.5.0-0.1
libnl-genl-3-200:arm64	3.5.0-0.1
libnl-route-3-200:arm64	3.5.0-0.1
libnl-route-3-dev:arm64	3.5.0-0.1
libnm0:arm64	1.36.6-0ubuntu2.1
libnma-common	1.8.34-1ubuntu1
libnma0:arm64	1.8.34-1ubuntu1
libnorm-dev:arm64	1.5.9+dfsg-2
libnorm1:arm64	1.5.9+dfsg-2
libnotify-bin	0.7.9-3ubuntu5.22.04.1
libnotify4:arm64	0.7.9-3ubuntu5.22.04.1
libnpth0:arm64	1.6-3build2
libnsl-dev:arm64	1.3.0-2build2
libnsl2:arm64	1.3.0-2build2
libnspr4:arm64	2:4.35-0ubuntu0.22.04.1
libnss-mdns:arm64	0.15.1-1ubuntu1
libnss-sss:arm64	2.6.3-1ubuntu3.6
libnss-systemd:arm64	249.11-0ubuntu3.16
libnss3:arm64	2:3.98-0ubuntu0.22.04.2
libntfs-3g89	1:2021.8.22-3ubuntu1.2
libnuma-dev:arm64	2.0.14-3ubuntu2
libnuma1:arm64	2.0.14-3ubuntu2
libobexftp0	0.24-6build5
libodbc2:arm64	2.3.9-5ubuntu0.1
libodbccr2:arm64	2.3.9-5ubuntu0.1
libodbcinst2:arm64	2.3.9-5ubuntu0.1
libodfgen-0.1-1:arm64	0.1.8-2build2
libogdi-dev	4.1.0+ds-5
libogdi4.1	4.1.0+ds-5
libogg-dev:arm64	1.3.5-0ubuntu3
libogg0:arm64	1.3.5-0ubuntu3
libomp-14-dev	1:14.0.0-1ubuntu1.1
libomp-dev:arm64	1:14.0-55~exp2
libomp5-14:arm64	1:14.0.0-1ubuntu1.1
libopenal-data	1:1.19.1-2build3
libopenal1:arm64	1:1.19.1-2build3
libopenblas-dev:arm64	0.3.20+ds-1
libopenblas-pthread-dev:arm64	0.3.20+ds-1
libopenblas0:arm64	0.3.20+ds-1
libopenblas0-pthread:arm64	0.3.20+ds-1
libopencore-amrnb0:arm64	0.1.5-1
libopencore-amrwb0:arm64	0.1.5-1
libopencv-calib3d-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-calib3d4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-contrib-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-contrib4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-core-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-core4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-dev	4.5.4+dfsg-9ubuntu4
libopencv-dnn-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-dnn4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-features2d-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-features2d4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-flann-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-flann4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-highgui-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-highgui4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-imgcodecs-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-imgcodecs4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-imgproc-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-imgproc4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-ml-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-ml4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-objdetect-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-objdetect4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-photo-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-photo4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-shape-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-shape4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-stitching-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-stitching4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-superres-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-superres4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-video-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-video4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-videoio-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-videoio4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-videostab-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-videostab4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopencv-viz-dev:arm64	4.5.4+dfsg-9ubuntu4
libopencv-viz4.5d:arm64	4.5.4+dfsg-9ubuntu4
libopenexr-dev	2.5.7-1
libopenexr25:arm64	2.5.7-1
libopengl-dev:arm64	1.4.0-1
libopengl0:arm64	1.4.0-1
libopenh264-6:arm64	2.2.0+dfsg-2
libopenjp2-7:arm64	2.4.0-6ubuntu0.3
libopenjp2-7-dev:arm64	2.4.0-6ubuntu0.3
libopenmpi-dev:arm64	4.1.2-2ubuntu1
libopenmpi3:arm64	4.1.2-2ubuntu1
libopenmpt0:arm64	0.6.1-1
libopenni-dev:arm64	1.5.4.0+dfsg-5
libopenni-sensor-pointclouds0	5.1.0.41.9-4
libopenni0	1.5.4.0+dfsg-5
libopenni2-0:arm64	2.2.0.33+dfsg-15
libopenni2-dev:arm64	2.2.0.33+dfsg-15
libopenobex2	1.7.2-2.1
libopts25:arm64	1:5.18.16-4
libopus0:arm64	1.3.1-0.1build2
liborc-0.4-0:arm64	1:0.4.32-2ubuntu0.1
liborc-0.4-dev:arm64	1:0.4.32-2ubuntu0.1
liborc-0.4-dev-bin	1:0.4.32-2ubuntu0.1
liborcus-0.17-0:arm64	0.17.2-2
liborcus-parser-0.17-0:arm64	0.17.2-2
liborocos-kdl-dev:arm64	1.5.1-2build1
liborocos-kdl1.5:arm64	1.5.1-2build1
libp11-kit0:arm64	0.24.0-6build1
libpackagekit-glib2-18:arm64	1.2.5-2ubuntu3
libpagemaker-0.0-0:arm64	0.0.4-1build3
libpam-fprintd:arm64	1.94.2-1ubuntu0.22.04.1
libpam-gnome-keyring:arm64	40.0-3ubuntu3
libpam-modules:arm64	1.4.0-11ubuntu2.6
libpam-modules-bin	1.4.0-11ubuntu2.6
libpam-pwquality:arm64	1.4.4-1build2
libpam-runtime	1.4.0-11ubuntu2.6
libpam-sss:arm64	2.6.3-1ubuntu3.6
libpam-systemd:arm64	249.11-0ubuntu3.16
libpam0g:arm64	1.4.0-11ubuntu2.6
libpango-1.0-0:arm64	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0:arm64	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0:arm64	1.50.6+ds-2ubuntu1
libpangomm-1.4-1v5:arm64	2.46.2-1
libpangoxft-1.0-0:arm64	1.50.6+ds-2ubuntu1
libpaper-utils	1.1.28build2
libpaper1:arm64	1.1.28build2
libpaps0	0.6.8-7.1
libparted-fs-resize0:arm64	3.4-2build1
libparted2:arm64	3.4-2build1
libpath-utils1:arm64	0.6.2-1
libpathplan4:arm64	2.42.2-6ubuntu0.1
libpcap-dev:arm64	1.10.1-4ubuntu1.22.04.1
libpcap0.8:arm64	1.10.1-4ubuntu1.22.04.1
libpcap0.8-dev:arm64	1.10.1-4ubuntu1.22.04.1
libpcaudio0:arm64	1.1-6build2
libpci3:arm64	1:3.7.0-6
libpciaccess-dev:arm64	0.16-3
libpciaccess0:arm64	0.16-3
libpcl-apps1.12:arm64	1.12.1+dfsg-3build1
libpcl-common1.12:arm64	1.12.1+dfsg-3build1
libpcl-dev	1.12.1+dfsg-3build1
libpcl-features1.12:arm64	1.12.1+dfsg-3build1
libpcl-filters1.12:arm64	1.12.1+dfsg-3build1
libpcl-io1.12:arm64	1.12.1+dfsg-3build1
libpcl-kdtree1.12:arm64	1.12.1+dfsg-3build1
libpcl-keypoints1.12:arm64	1.12.1+dfsg-3build1
libpcl-ml1.12:arm64	1.12.1+dfsg-3build1
libpcl-octree1.12:arm64	1.12.1+dfsg-3build1
libpcl-outofcore1.12:arm64	1.12.1+dfsg-3build1
libpcl-people1.12:arm64	1.12.1+dfsg-3build1
libpcl-recognition1.12:arm64	1.12.1+dfsg-3build1
libpcl-registration1.12:arm64	1.12.1+dfsg-3build1
libpcl-sample-consensus1.12:arm64	1.12.1+dfsg-3build1
libpcl-search1.12:arm64	1.12.1+dfsg-3build1
libpcl-segmentation1.12:arm64	1.12.1+dfsg-3build1
libpcl-stereo1.12:arm64	1.12.1+dfsg-3build1
libpcl-surface1.12:arm64	1.12.1+dfsg-3build1
libpcl-tracking1.12:arm64	1.12.1+dfsg-3build1
libpcl-visualization1.12:arm64	1.12.1+dfsg-3build1
libpcre16-3:arm64	2:8.39-13ubuntu0.22.04.1
libpcre2-16-0:arm64	10.39-3ubuntu0.1
libpcre2-32-0:arm64	10.39-3ubuntu0.1
libpcre2-8-0:arm64	10.39-3ubuntu0.1
libpcre2-dev:arm64	10.39-3ubuntu0.1
libpcre2-posix3:arm64	10.39-3ubuntu0.1
libpcre3:arm64	2:8.39-13ubuntu0.22.04.1
libpcre3-dev:arm64	2:8.39-13ubuntu0.22.04.1
libpcre32-3:arm64	2:8.39-13ubuntu0.22.04.1
libpcrecpp0v5:arm64	2:8.39-13ubuntu0.22.04.1
libpcsclite1:arm64	1.9.5-3ubuntu1
libpeas-1.0-0:arm64	1.32.0-1
libpeas-common	1.32.0-1
libperl5.34:arm64	5.34.0-3ubuntu1.5
libpgm-5.3-0:arm64	5.3.128~dfsg-2
libpgm-dev:arm64	5.3.128~dfsg-2
libphonenumber8:arm64	8.12.44-1
libpipeline1:arm64	1.5.5-1
libpipewire-0.3-0:arm64	0.3.48-1ubuntu3
libpipewire-0.3-common	0.3.48-1ubuntu3
libpipewire-0.3-modules:arm64	0.3.48-1ubuntu3
libpixman-1-0:arm64	0.40.0-1ubuntu0.22.04.1
libpixman-1-dev:arm64	0.40.0-1ubuntu0.22.04.1
libpkcs11-helper1:arm64	1.28-1ubuntu0.22.04.1
libplist3:arm64	2.2.0-6build2
libplymouth5:arm64	0.9.5+git20211018-1ubuntu3
libpmem1:arm64	1.11.1-3build1
libpmemblk1:arm64	1.11.1-3build1
libpmemobj1:arm64	1.11.1-3build1
libpmix-dev:arm64	4.1.2-2ubuntu1
libpmix2:arm64	4.1.2-2ubuntu1
libpng-dev:arm64	1.6.37-3build5
libpng16-16:arm64	1.6.37-3build5
libpocketsphinx3:arm64	0.8.0+real5prealpha+1-14ubuntu1
libpolkit-agent-1-0:arm64	0.105-33
libpolkit-gobject-1-0:arm64	0.105-33
libpoppler-dev:arm64	22.02.0-2ubuntu0.10
libpoppler-glib8:arm64	22.02.0-2ubuntu0.10
libpoppler-private-dev:arm64	22.02.0-2ubuntu0.10
libpoppler118:arm64	22.02.0-2ubuntu0.10
libpopt-dev:arm64	1.18-3build1
libpopt0:arm64	1.18-3build1
libpostproc55:arm64	7:4.4.2-0ubuntu0.22.04.1
libpq-dev	14.19-0ubuntu0.22.04.1
libpq5:arm64	14.19-0ubuntu0.22.04.1
libprocps8:arm64	2:3.3.17-6ubuntu2.1
libproj-dev:arm64	8.2.1-1
libproj22:arm64	8.2.1-1
libprotobuf23:arm64	3.12.4-1ubuntu7.22.04.4
libproxy1-plugin-gsettings:arm64	0.4.17-2
libproxy1-plugin-networkmanager:arm64	0.4.17-2
libproxy1v5:arm64	0.4.17-2
libpsl5:arm64	0.21.0-1.2build2
libpthread-stubs0-dev:arm64	0.4-1build2
libpulse-dev:arm64	1:15.99.1+dfsg1-1ubuntu2.2
libpulse-mainloop-glib0:arm64	1:15.99.1+dfsg1-1ubuntu2.2
libpulse0:arm64	1:15.99.1+dfsg1-1ubuntu2.2
libpulsedsp:arm64	1:15.99.1+dfsg1-1ubuntu2.2
libpwquality-common	1.4.4-1build2
libpwquality1:arm64	1.4.4-1build2
libpyside2-dev	5.15.2-2build2
libpyside2-py3-5.15	5.15.2-2build2
libpython2-stdlib:arm64	2.7.18-3
libpython2.7:arm64	2.7.18-13ubuntu1.5
libpython2.7-minimal:arm64	2.7.18-13ubuntu1.5
libpython2.7-stdlib:arm64	2.7.18-13ubuntu1.5
libpython3-dev:arm64	3.10.6-1~22.04.1
libpython3-stdlib:arm64	3.10.6-1~22.04.1
libpython3.10:arm64	3.10.12-1~22.04.11
libpython3.10-dev:arm64	3.10.12-1~22.04.11
libpython3.10-minimal:arm64	3.10.12-1~22.04.11
libpython3.10-stdlib:arm64	3.10.12-1~22.04.11
libqhull-dev:arm64	2020.2-4
libqhull-r8.0:arm64	2020.2-4
libqhull8.0:arm64	2020.2-4
libqhullcpp8.0:arm64	2020.2-4
libqmi-glib5:arm64	1.32.0-1ubuntu0.22.04.1
libqmi-proxy	1.32.0-1ubuntu0.22.04.1
libqqwing2v5:arm64	1.3.4-1.1ubuntu3
libqrencode4:arm64	4.1.1-1
libqt5concurrent5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5core5a:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5dbus5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5designer5:arm64	5.15.3-1
libqt5designercomponents5:arm64	5.15.3-1
libqt5gui5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5help5:arm64	5.15.3-1
libqt5network5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5opengl5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5opengl5-dev:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5positioning5:arm64	5.15.3+dfsg-3
libqt5printsupport5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5qml5:arm64	5.15.3+dfsg-1
libqt5qmlmodels5:arm64	5.15.3+dfsg-1
libqt5qmlworkerscript5:arm64	5.15.3+dfsg-1
libqt5quick5:arm64	5.15.3+dfsg-1
libqt5quickparticles5:arm64	5.15.3+dfsg-1
libqt5quickshapes5:arm64	5.15.3+dfsg-1
libqt5quicktest5:arm64	5.15.3+dfsg-1
libqt5quickwidgets5:arm64	5.15.3+dfsg-1
libqt5sensors5:arm64	5.15.3-1
libqt5sql5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5sql5-sqlite:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5svg5:arm64	5.15.3-1
libqt5test5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5webchannel5:arm64	5.15.3-1
libqt5webkit5:arm64	5.212.0~alpha4-15ubuntu1
libqt5webkit5-dev:arm64	5.212.0~alpha4-15ubuntu1
libqt5widgets5:arm64	5.15.3+dfsg-2ubuntu0.2
libqt5xml5:arm64	5.15.3+dfsg-2ubuntu0.2
librabbitmq4:arm64	0.10.0-1ubuntu2
librados2	17.2.7-0ubuntu0.22.04.2
libraptor2-0:arm64	2.0.15-0ubuntu4.1
libraqm0:arm64	0.7.0-4ubuntu1
librasqal3:arm64	0.9.33-0.2ubuntu1
libraw1394-11:arm64	2.1.2-2build2
libraw1394-dev:arm64	2.1.2-2build2
libraw20:arm64	0.20.2-2ubuntu2.22.04.2
librbd1	17.2.7-0ubuntu0.22.04.2
librbio2:arm64	1:5.10.1+dfsg-4build1
librdf0:arm64	1.0.17-1.1ubuntu3
librdkafka1:arm64	1.8.0-1build1
librdmacm1:arm64	39.0-1
libreadline8:arm64	8.1.2-1
libref-array1:arm64	0.6.2-1
libreoffice-base-core	1:7.3.7-0ubuntu0.22.04.10
libreoffice-calc	1:7.3.7-0ubuntu0.22.04.10
libreoffice-common	1:7.3.7-0ubuntu0.22.04.10
libreoffice-core	1:7.3.7-0ubuntu0.22.04.10
libreoffice-draw	1:7.3.7-0ubuntu0.22.04.10
libreoffice-gnome	1:7.3.7-0ubuntu0.22.04.10
libreoffice-gtk3	1:7.3.7-0ubuntu0.22.04.10
libreoffice-impress	1:7.3.7-0ubuntu0.22.04.10
libreoffice-math	1:7.3.7-0ubuntu0.22.04.10
libreoffice-pdfimport	1:7.3.7-0ubuntu0.22.04.10
libreoffice-style-breeze	1:7.3.7-0ubuntu0.22.04.10
libreoffice-style-colibre	1:7.3.7-0ubuntu0.22.04.10
libreoffice-style-elementary	1:7.3.7-0ubuntu0.22.04.10
libreoffice-style-yaru	1:7.3.7-0ubuntu0.22.04.10
libreoffice-writer	1:7.3.7-0ubuntu0.22.04.10
librest-0.7-0:arm64	0.8.1-1.1build2
librevenge-0.0-0:arm64	0.0.4-6ubuntu7
librhash0:arm64	1.4.2-1ubuntu1
librhythmbox-core10:arm64	3.4.4-5ubuntu1
librsvg2-2:arm64	2.52.5+dfsg-3ubuntu0.2
librsvg2-common:arm64	2.52.5+dfsg-3ubuntu0.2
librsync2:arm64	2.3.2-1ubuntu1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2build4
librttopo-dev:arm64	1.1.0-2
librttopo1:arm64	1.1.0-2
librubberband2:arm64	2.0.0-2
librygel-core-2.6-2:arm64	0.40.3-1ubuntu2
librygel-db-2.6-2:arm64	0.40.3-1ubuntu2
librygel-renderer-2.6-2:arm64	0.40.3-1ubuntu2
librygel-server-2.6-2:arm64	0.40.3-1ubuntu2
libsamplerate0:arm64	0.2.2-1build1
libsane-common	1.1.1-5
libsane-hpaio:arm64	3.21.12+dfsg0-1
libsane1:arm64	1.1.1-5
libsasl2-2:arm64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules:arm64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:arm64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-gssapi-mit:arm64	2.1.27+dfsg2-3ubuntu1.2
libsbc1:arm64	1.5-3build2
libsctp1:arm64	1.0.19+dfsg-1build1
libsdl2-2.0-0:arm64	2.0.20+dfsg-2ubuntu1.22.04.1
libsdl2-dev:arm64	2.0.20+dfsg-2ubuntu1.22.04.1
libseat1:arm64	0.6.4-1
libseccomp2:arm64	2.5.3-2ubuntu3~22.04.1
libsecret-1-0:arm64	0.20.5-2
libsecret-common	0.20.5-2
libselinux1:arm64	3.3-1build2
libselinux1-dev:arm64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:arm64	3.3-1build2
libsensors-config	1:3.6.0-7ubuntu1
libsensors5:arm64	1:3.6.0-7ubuntu1
libsepol-dev:arm64	3.3-1build1
libsepol2:arm64	3.3-1build1
